the_geom,Length,SegmentID,Width,Rating_B,RatingWord,Shape_len,Merged3.FID,Merged3.Street,Theft_rate,Subway,Rest,Graf,Theft_predicted
"LINESTRING (-74.14501206272918 40.61054301699993, -74.14601648085174 40.61034411994421)",320,8681,48.17,6,FAIR,288.1405907,6177,CENTRAL ROAD,0,0,0,0,0.05
"LINESTRING (-74.14501206272918 40.61054301699993, -74.14521022461645 40.60892059091805)",634,8682,33.08,7,GOOD,593.6472016,6178,LAFAYETTE STREET,0,0,0,0,0.05
"LINESTRING (-74.14856923815601 40.611608945512124, -74.14875139437946 40.61092251036104)",262,8683,32.5,7,GOOD,255.1489761,6179,LAFAYETTE STREET,0,0,0,0,0.05
"LINESTRING (-74.14836555943918 40.61233658007321, -74.1492879288691 40.61248360491041)",271,8684,36.67,8,GOOD,261.6333312,6180,RIVERSIDE BOULEVARD,0,0,0,0,0.05
"LINESTRING (-74.14836555943918 40.61233658007321, -74.14856923815601 40.611608945512124)",270,8685,32.5,7,GOOD,271.0608788,6181,GAY STREET,0,0,0,0,0.05
"LINESTRING (-74.14819129351127 40.613335911268315, -74.14819230689825 40.61323481723426, -74.14819698941301 40.613133783428935, -74.14820534001095 40.613032887622445, -74.14821734923947 40.612932205765624, -74.14823301125395 40.612831816549, -74.14825231059723 40.6127317950155, -74.1482752342197 40.61263221894939, -74.14830176546623 40.61253316430938, -74.1483318816813 40.61243470797656, -74.14836555943918 40.61233658007321)",385,8686,32.5,7,GOOD,368.4426086,6182,11 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.14817468597477 40.61396723611513, -74.14912208168906 40.614020906909666)",253,8687,33.75,6,FAIR,263.75936,6183,WEST 132 STREET,0,0,0,0,0.05
"LINESTRING (-74.14817468597477 40.61396723611513, -74.14819129351127 40.613335911268315)",222,8688,34.75,8,GOOD,230.0543414,6184,HARLEM RIVER DRIVE SERVICE RD W,0,0,0,0,0.05
"LINESTRING (-74.14680020771894 40.61133399383455, -74.1468923046486 40.61063120782858)",234,8689,30.67,7,FAIR,257.3169252,6185,DYER AVENUE,0,0,0,0,0.05
"LINESTRING (-74.14680020771894 40.61133399383455, -74.14856923815601 40.611608945512124)",476,8690,30.75,7,GOOD,501.2803607,6186,RIVERSIDE DRIVE,0,0,0,0,0.05
"LINESTRING (-74.14670098387451 40.6120724711833, -74.14680020771894 40.61133399383455)",290,8692,30.67,6,FAIR,270.4533231,6187,BROOME STREET,0,0,0,0,0.05
"LINESTRING (-74.14654511823196 40.61326116742812, -74.14819129351127 40.613335911268315)",406,8693,34.08,9,GOOD,457.8569646,6188,GROVE STREET,0,0,0,0,0.05
"LINESTRING (-74.14654511823196 40.61326116742812, -74.14670098387451 40.6120724711833)",385,8694,30.67,7,FAIR,435.2298243,6189,AVENUE OF THE AMERICAS,0,0,0,0,0.05
"LINESTRING (-74.1464600610415 40.61389257925725, -74.14654511823196 40.61326116742812)",231,8696,30,6,FAIR,231.2487838,6190,AMSTERDAM AVENUE,0,0,0,0,0.05
"LINESTRING (-74.1457858411894 40.61193090602598, -74.14601648085174 40.61034411994421)",561,8697,33.5,7,GOOD,581.6433615,6191,WEST 114 STREET,0,0,0,0,0.05
"LINESTRING (-74.1457858411894 40.61193090602598, -74.14670098387451 40.6120724711833)",277,8698,43.5,8,GOOD,259.2682009,6192,HUDSON STREET,0,0,0,0,0.05
