the_geom,Length,SegmentID,Width,Rating_B,RatingWord,Shape_len,Merged3.FID,Merged3.Street,Theft_rate,Subway,Rest,Graf,Theft_predicted
"LINESTRING (-74.25393145629884 40.50232064751993, -74.25425434546075 40.50212779438168)",114,9,30,0,NR,114.0175425,0,BATTERY PARK CITY GREENWAY,0,0,0,0,0.05
"LINESTRING (-74.25348929042963 40.50235181824591, -74.25393145629884 40.50232064751993)",123,10,30,0,NR,123.4908904,1,BATTERY PLACE,0,0,0,0,0.05
"LINESTRING (-74.25348929042963 40.50235181824591, -74.251521301242 40.5001520491618)",999,11,30,0,NR,970.4813239,2,BATTERY PLACE,0,0,0,0,0.05
"LINESTRING (-74.25272401241558 40.50251819603399, -74.25348929042963 40.50235181824591)",221,12,30,0,NR,221.2894033,3,WEST THAMES STREET,0,0,0,0,0.05
"LINESTRING (-74.25272401241558 40.50251819603399, -74.25070987612833 40.50047222527812)",933,13,30,0,NR,932.4017375,4,1 PLACE,0,0,0,0,0.05
"LINESTRING (-74.25505718173595 40.505211202870065, -74.25317764292664 40.50551455135355)",465,15,30,8,GOOD,534.2377748,5,BROAD STREET,0,0,0,0,0.05
"LINESTRING (-74.25422295126856 40.50616551015999, -74.25409933184112 40.50580895597205)",151,16,30,8,GOOD,134.3726163,6,STATE STREET,0,0,0,0,0.05
"LINESTRING (-74.25317481600673 40.504767963667796, -74.25388284483594 40.50467033039051)",211,17,30,8,GOOD,200.0849819,7,STATE STREET,0,0,0,0,0.05
"LINESTRING (-74.2530943012904 40.50629701186389, -74.25422295126856 40.50616551015999)",331,20,18.58,7,GOOD,317.4980315,8,GREENWICH STREET,0,0,2,0,0.16
"LINESTRING (-74.25493722035228 40.50770103069517, -74.25478088667 40.50819819213698)",213,25,30,6,FAIR,186.2713075,9,PEARL STREET,0,0,0,0,0.05
"LINESTRING (-74.25453161899141 40.506955337142536, -74.25422295126856 40.50616551015999)",301,26,30,7,FAIR,300.2815346,10,WHITEHALL STREET,0,0,0,0,0.05
"LINESTRING (-74.25493722035228 40.50770103069517, -74.25525021415838 40.507736017774995)",139,27,30,6,FAIR,87.96590249,11,RECTOR STREET,0,0,2,0,0.16
"LINESTRING (-74.25493722035228 40.50770103069517, -74.25453161899141 40.506955337142536)",542,28,45.58,6,FAIR,294.156421,12,WATER STREET,0,0,2,0,0.16
"LINESTRING (-74.25392304681473 40.507681320466496, -74.25493722035228 40.50770103069517)",216,29,29.75,6,FAIR,282.1134524,13,BEAVER STREET,0,0,5,0,0.325
"LINESTRING (-74.25299942180904 40.50688186992653, -74.2530943012904 40.50629701186389)",235,30,33.58,3,POOR,214.704448,14,CHURCH STREET,0,0,1,0,0.105
"LINESTRING (-74.25299942180904 40.50688186992653, -74.25453161899141 40.506955337142536)",205,31,35.67,8,GOOD,426.9191961,15,CHURCH STREET,0,0,1,0,0.105
"LINESTRING (-74.25287637435896 40.50762599010005, -74.25392304681473 40.507681320466496)",295,32,30.92,6,FAIR,291.756748,16,CHURCH STREET,0,0,1,0,0.105
"LINESTRING (-74.25287637435896 40.50762599010005, -74.25299942180904 40.50688186992653)",229,33,33.58,6,FAIR,273.2508005,17,WALL STREET,1,0,2,0,0.16
"LINESTRING (-74.25308030444408 40.51209961294924, -74.25299384780556 40.51206137595131)",66,35,30,0,NR,27.78488798,18,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.25299384780556 40.51206137595131, -74.25206694969117 40.51136073911516)",548,36,27.33,6,FAIR,362.7464679,19,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.25340122831177 40.51232398083574, -74.25308030444408 40.51209961294924)",82,37,30,0,NR,121.0165278,20,WASHINGTON STREET,0,0,0,0,0.05
"LINESTRING (-74.2500339473352 40.49856604226262, -74.24984080789105 40.497877510218174)",208,44,30,0,NR,256.5345981,21,GREENWICH STREET,0,0,4,0,0.27
"LINESTRING (-74.25026681710948 40.4993011494486, -74.2500339473352 40.49856604226262)",327,47,30,0,NR,275.5358416,22,GREENWICH STREET,0,0,4,0,0.27
"LINESTRING (-74.251380926093 40.5001139291239, -74.25026681710948 40.4993011494486)",221,48,30,0,NR,428.5907139,23,STONE STREET,0,0,2,0,0.16
"LINESTRING (-74.25070987612833 40.50047222527812, -74.251521301242 40.5001520491618)",252,49,30,0,NR,254.0314941,24,BROADWAY,0,0,4,0,0.27
"LINESTRING (-74.24977526691939 40.50054562902637, -74.251380926093 40.5001139291239)",451,50,30,0,NR,473.4395421,25,WEST BROADWAY,0,0,0,0,0.05
"LINESTRING (-74.24964592491251 40.50057335879892, -74.24977526691939 40.50054562902637)",81,51,30,8,GOOD,37.36308338,26,CORTLANDT STREET,2,1,1,0,1.264
"LINESTRING (-74.24992752682134 40.500877422074446, -74.25070987612833 40.50047222527812)",206,52,30,0,NR,262.93155,27,BROADWAY,0,0,3,0,0.215
"LINESTRING (-74.24992752682134 40.500877422074446, -74.24972202875875 40.50073239341262)",98,53,30,8,GOOD,77.83315489,28,EXCHANGE PLACE,0,0,2,0,0.16
"LINESTRING (-74.24915717962665 40.498716170272985, -74.2500339473352 40.49856604226262)",414,56,30,0,NR,249.9039816,29,GREENWICH STREET,0,0,2,0,0.16
"LINESTRING (-74.24915717962665 40.498716170272985, -74.24917035475586 40.49878875983994, -74.24918480103563 40.49886120757325, -74.24920051602858 40.49893350158343, -74.24921749729391 40.49900562906611, -74.24923574118887 40.49907757630447, -74.249255244074 40.49914933049662, -74.24927600231325 40.499220879755555, -74.24929801345883 40.499292209446814, -74.24932127267938 40.49936330860088, -74.24934685189044 40.499440393760565)",276,57,30,8,GOOD,269.2576759,30,WATTS STREET,0,0,1,0,0.105
"LINESTRING (-74.24934685189044 40.499440393760565, -74.25026681710948 40.4993011494486)",425,58,30,0,NR,260.8371139,31,COLLISTER STREET,0,0,1,0,0.105
"LINESTRING (-74.24934685189044 40.499440393760565, -74.24964592491251 40.50057335879892)",389,59,30,8,GOOD,421.0617532,32,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.2518296231154 40.502775431535824, -74.25272401241558 40.50251819603399)",253,60,30,8,GOOD,265.8006772,33,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.2518296231154 40.502775431535824, -74.25177387157566 40.50269855495659, -74.25171453627942 40.5026232571694, -74.25165169431314 40.50254963589865, -74.25158542634755 40.50247778611594, -74.25151581903816 40.50240780094961, -74.25144296262465 40.5023397707754, -74.25136694972882 40.50227378230388, -74.25128787896746 40.50220992314747, -74.25120585252431 40.5021482735912, -74.25112226925793 40.50209077390794)",315,61,30,6,FAIR,319.4094855,34,WEST STREET,0,0,0,0,0.05
"LINESTRING (-74.25136255092438 40.50287801431404, -74.2518296231154 40.502775431535824)",152,62,61.83,9,GOOD,135.1628647,35,HUDSON STREET,0,0,0,0,0.05
"LINESTRING (-74.25136255092438 40.50287801431404, -74.25112226925793 40.50209077390794)",295,63,30,0,NR,294.4910865,36,WEST BROADWAY,0,0,0,1,1.175
"LINESTRING (-74.25112226925793 40.50209077390794, -74.24992752682134 40.500877422074446)",571,64,30,6,FAIR,553.0009042,37,CHARLES STREET,0,0,0,0,0.05
"LINESTRING (-74.25052173921226 40.503041797979236, -74.25136255092438 40.50287801431404)",256,65,61.83,9,GOOD,241.3234344,38,CANAL STREET,0,0,0,0,0.05
"LINESTRING (-74.25052173921226 40.503041797979236, -74.25135770161556 40.50541424842994)",985,66,38.42,8,GOOD,895.0558642,39,12 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.24970251882002 40.5032110181549, -74.25052173921226 40.503041797979236)",247,67,61.83,9,GOOD,236.019067,40,JOE DIMAGGIO HIGHWAY,0,0,0,0,0.05
"LINESTRING (-74.24970251882002 40.5032110181549, -74.24884828626027 40.50073703634991)",921,68,37.58,6,FAIR,932.1099721,41,BARROW STREET,0,0,0,0,0.05
"LINESTRING (-74.25232227366946 40.505639952607375, -74.25317764292664 40.50551455135355)",294,69,30,8,GOOD,242.216845,42,HANOVER STREET,0,0,0,0,0.05
"LINESTRING (-74.25232227366946 40.505639952607375, -74.25136255092438 40.50287801431404)",1026,70,34.92,8,GOOD,1041.030739,43,CHURCH STREET,0,0,1,0,0.105
"LINESTRING (-74.25146328459765 40.50575986574871, -74.25232227366946 40.505639952607375)",300,71,30,7,FAIR,242.8373942,44,GREENWICH STREET,0,0,0,0,0.05
"LINESTRING (-74.250575534997 40.505882580084084, -74.25146328459765 40.50575986574871)",202,73,30,7,FAIR,250.8884214,45,HUDSON STREET,0,0,0,0,0.05
"LINESTRING (-74.25049872399681 40.5055368991611, -74.24970251882002 40.5032110181549)",822,75,30,8,GOOD,875.8224706,46,RENWICK STREET,0,0,0,0,0.05
"LINESTRING (-74.24957502628108 40.50566242905349, -74.24882938743596 40.50338858387235)",831,76,30,8,GOOD,853.9707255,47,CANAL STREET,0,0,0,0,0.05
"LINESTRING (-74.24969496383484 40.50600252709535, -74.250575534997 40.505882580084084)",276,77,30,8,GOOD,248.7448492,48,WEST 10 STREET,0,0,0,0,0.05
"LINESTRING (-74.25217238885658 40.50689741433339, -74.25232227366946 40.505639952607375)",734,79,34.92,7,GOOD,460.0141302,49,BEEKMAN STREET,0,0,0,0,0.05
"LINESTRING (-74.25208147940663 40.50758382158104, -74.25287637435896 40.50762599010005)",252,80,30.92,8,GOOD,221.5784286,50,NORTH MOORE STREET,0,0,1,0,0.105
"LINESTRING (-74.25208147940663 40.50758382158104, -74.25217238885658 40.50689741433339)",252,81,30,7,FAIR,251.3483638,51,VARICK STREET,0,0,0,0,0.05
"LINESTRING (-74.25173362257752 40.506884653464255, -74.25146328459765 40.50575986574871)",456,82,35.83,8,GOOD,416.6245312,52,12 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.25173362257752 40.506884653464255, -74.25217238885658 40.50689741433339)",122,83,30,7,FAIR,122.102416,53,JOE DIMAGGIO HIGHWAY,0,0,0,0,0.05
"LINESTRING (-74.25087865534584 40.507122581050844, -74.250575534997 40.505882580084084)",468,84,26.5,8,GOOD,459.5573958,54,HUDSON STREET,0,0,0,0,0.05
"LINESTRING (-74.25087865534584 40.507122581050844, -74.25173362257752 40.506884653464255)",208,85,15.25,8,GOOD,253.0612574,55,CHURCH STREET,1,0,6,0,0.38
"LINESTRING (-74.25116522690938 40.50778345825336, -74.25087865534584 40.507122581050844)",282,87,26.5,8,GOOD,253.6178227,56,HUDSON STREET,0,0,2,0,0.16
"LINESTRING (-74.25032826767833 40.50803232160184, -74.25116522690938 40.50778345825336)",286,89,30.92,8,GOOD,249.7779013,57,MAIDEN LANE,0,0,3,0,0.215
"LINESTRING (-74.25032826767833 40.50803232160184, -74.25003091517966 40.507371465825216)",254,90,30,8,GOOD,254.568262,58,WEST 17 STREET,0,0,0,0,0.05
"LINESTRING (-74.25003091517966 40.507371465825216, -74.24969496383484 40.50600252709535)",521,91,30,0,NR,507.4100906,59,GOUVERNEUR LANE,0,0,0,0,0.05
"LINESTRING (-74.25003091517966 40.507371465825216, -74.25087865534584 40.507122581050844)",253,92,30,8,GOOD,252.5787006,60,GOUVERNEUR LANE,0,0,0,0,0.05
"LINESTRING (-74.2494841100247 40.50828119447726, -74.25032826767833 40.50803232160184)",239,93,30.92,8,GOOD,251.6445906,61,FULTON STREET,0,0,3,0,0.215
"LINESTRING (-74.2494841100247 40.50828119447726, -74.24917963401816 40.50763682098637)",250,94,31.67,7,GOOD,249.5616156,62,12 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.24917963401816 40.50763682098637, -74.25003091517966 40.507371465825216)",494,95,15.25,8,GOOD,255.704908,63,JOE DIMAGGIO HIGHWAY,0,0,0,0,0.05
"LINESTRING (-74.24917963401816 40.50763682098637, -74.2487963891863 40.506117016714114)",365,96,31.67,7,GOOD,563.8625719,64,FRONT STREET,0,0,1,0,0.105
"LINESTRING (-74.24906745367024 40.50841385130065, -74.2494841100247 40.50828119447726)",120,97,30.92,8,GOOD,125.5388386,65,FLETCHER STREET,0,0,1,0,0.105
"LINESTRING (-74.25245197735582 40.50951536740851, -74.25392304681473 40.507681320466496)",870,98,34.25,6,FAIR,783.4602734,66,CHRISTOPHER STREET,0,0,0,0,0.05
"LINESTRING (-74.25245197735582 40.50951536740851, -74.25119833694112 40.50893895913287)",436,99,34.33,6,FAIR,406.9705149,67,HUDSON STREET,0,0,5,0,0.325
"LINESTRING (-74.25206694969117 40.51136073911516, -74.25154352964357 40.51084036992978)",170,101,27.33,6,FAIR,239.0083681,68,PERRY STREET,0,0,2,0,0.16
"LINESTRING (-74.25135942001684 40.5106541249053, -74.25025854434404 40.50958055757644)",566,102,27.33,5,FAIR,496.6779641,69,ANN STREET,0,0,0,0,0.05
"LINESTRING (-74.25135942001684 40.5106541249053, -74.25068823326997 40.511004186251334)",277,103,14.33,6,FAIR,226.0486673,70,WEST 18 STREET,0,0,0,0,0.05
"LINESTRING (-74.25154352964357 40.51084036992978, -74.25135942001684 40.5106541249053)",168,105,30,5,FAIR,85,71,VESTRY STREET,0,0,0,0,0.05
"LINESTRING (-74.25139586276529 40.51173825264696, -74.25206694969117 40.51136073911516)",232,106,30,7,FAIR,231.8145811,72,TRIMBLE PLACE,0,0,0,0,0.05
"LINESTRING (-74.25139586276529 40.51173825264696, -74.25068823326997 40.511004186251334)",375,107,29.08,7,GOOD,332.0240955,73,WEST 12 STREET,1,0,1,0,0.105
"LINESTRING (-74.25114824517324 40.511878781051415, -74.25139586276529 40.51173825264696)",89,108,26.33,7,FAIR,85.80209788,74,GROVE STREET,0,0,0,0,0.05
"LINESTRING (-74.25114824517324 40.511878781051415, -74.24998572416303 40.510673594240394)",544,109,37.08,7,GOOD,545.2375629,75,GREENWICH STREET,0,0,0,0,0.05
"LINESTRING (-74.25025854434404 40.50958055757644, -74.24906745367024 40.50841385130065)",495,111,27.33,5,FAIR,538.8654749,76,CLARKSON STREET,1,0,0,0,0.05
"LINESTRING (-74.25068823326997 40.511004186251334, -74.25065057182847 40.51096099719005, -74.25061183364605 40.510918365837995, -74.25057203556453 40.510876307711406, -74.25053118843529 40.51083483925443, -74.25048931029177 40.51079397415077, -74.25044641558137 40.510753728836725, -74.25040251874097 40.510714117003836, -74.25035763780713 40.510675153250695, -74.25031178841864 40.51063685218116, -74.25026234578067 40.5105961361594)",164,112,30,5,FAIR,190.3365718,77,CLARKSON STREET,1,0,0,0,0.05
"LINESTRING (-74.25026234578067 40.5105961361594, -74.24998572416303 40.510673594240394)",239,113,29.08,6,FAIR,81.93289938,78,CLARKSON STREET,1,0,0,0,0.05
"LINESTRING (-74.24998572416303 40.510673594240394, -74.24935765721435 40.5100518843161)",223,114,37.08,7,GOOD,286.0157338,79,WEST BROADWAY,0,0,4,0,0.27
"LINESTRING (-74.24912661116683 40.50981358593022, -74.24804727026394 40.508715247221225)",545,115,30,7,FAIR,500.2019592,80,11 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.24935765721435 40.5100518843161, -74.25025854434404 40.50958055757644)",318,116,31.17,7,FAIR,303.713681,81,VARICK STREET,0,0,0,0,0.05
"LINESTRING (-74.24935765721435 40.5100518843161, -74.24912661116683 40.50981358593022)",634,117,37.08,7,GOOD,108.0046295,82,GROVE STREET,0,0,0,0,0.05
"LINESTRING (-74.24939074736793 40.51121013033888, -74.24930040092599 40.51109229897197)",81,118,30,8,GOOD,49.73932046,83,PARK ROW,0,0,0,0,0.05
"LINESTRING (-74.25170680648787 40.514089889550064, -74.25112187886907 40.513476329197296)",212,123,30,8,GOOD,276.4416756,84,WALKER STREET,0,0,0,0,0.05
"LINESTRING (-74.25086198200249 40.51322162847195, -74.25069580830517 40.513024363884576)",67,124,30,0,NR,85.44003745,85,HUDSON STREET,0,0,3,0,0.215
"LINESTRING (-74.25069580830517 40.513024363884576, -74.25004261720062 40.513385361342586)",176,125,30,0,NR,224.2431716,86,11 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.25069580830517 40.513024363884576, -74.25014701651583 40.51245189205412)",436,126,35.5,8,GOOD,258.4279397,87,CANAL STREET,0,0,0,0,0.05
"LINESTRING (-74.25014701651583 40.51245189205412, -74.25114824517324 40.511878781051415)",357,127,26.33,7,FAIR,348.0014368,88,CANAL STREET,0,0,0,0,0.05
"LINESTRING (-74.24965773514694 40.514330420226955, -74.25112187886907 40.513476329197296)",547,129,30,7,FAIR,512.4099921,89,BROADWAY,0,0,2,0,0.16
"LINESTRING (-74.24965773514694 40.514330420226955, -74.24951323290885 40.51415781025985)",207,130,30,0,NR,74.62573283,90,FRANKLIN STREET,1,0,0,0,0.05
"LINESTRING (-74.2500398728752 40.5136131881032, -74.25086198200249 40.51322162847195)",384,131,38.17,6,FAIR,269.4531499,91,7 AVENUE SOUTH,0,0,0,0,0.05
"LINESTRING (-74.2500398728752 40.5136131881032, -74.24967316483145 40.513646924349786)",64,132,30,6,FAIR,102.7034566,92,BROOME STREET,1,0,2,0,0.16
"LINESTRING (-74.24967316483145 40.513646924349786, -74.24899059601893 40.512882599949606)",320,133,36.33,6,FAIR,336.9896141,93,LEROY STREET,0,0,0,0,0.05
"LINESTRING (-74.24951323290885 40.51415781025985, -74.24920262161545 40.513804402208265)",160,135,30,8,GOOD,155.0387048,94,WEST 17 STREET,0,0,3,0,0.215
"LINESTRING (-74.24920262161545 40.513804402208265, -74.24923736154815 40.51377344928274, -74.24927598526094 40.51374530410563, -74.24931810419932 40.51372025023443, -74.24936329611852 40.51369853744716, -74.24941110868997 40.513680384479535, -74.24946105948068 40.513665973535595, -74.24951264913962 40.51365545025909, -74.24956536017815 40.51364891824667, -74.24961866298057 40.51364644360962, -74.24967316483145 40.513646924349786)",112,136,38.17,7,GOOD,148.7917735,95,BLEECKER STREET,1,0,1,0,0.105
"LINESTRING (-74.24920262161545 40.513804402208265, -74.24856340669419 40.51309213288776)",282,137,37.08,7,GOOD,314.5298078,96,JANE STREET,0,0,1,1,1.23
"LINESTRING (-74.24893175018045 40.498044175822, -74.24984080789105 40.497877510218174)",373,138,30,0,NR,260.0173071,97,BROADWAY,0,0,4,0,0.27
"LINESTRING (-74.24893175018045 40.498044175822, -74.24915717962665 40.498716170272985)",231,139,30,8,GOOD,252.7231687,98,DUANE STREET,0,0,0,0,0.05
"LINESTRING (-74.24861634568435 40.49734767240421, -74.24893175018045 40.498044175822)",289,140,30,8,GOOD,268.4864987,99,DUANE STREET,0,0,0,0,0.05
"LINESTRING (-74.24797601697747 40.49823014891036, -74.24893175018045 40.498044175822)",264,141,30,6,FAIR,274.3082208,100,THOMAS STREET,0,0,0,0,0.05
"LINESTRING (-74.24747045492758 40.496669431209995, -74.24861634568435 40.49734767240421)",404,143,30,8,GOOD,403.2716206,101,WEST 12 STREET,0,0,0,0,0.05
"LINESTRING (-74.24701669303205 40.49841886658573, -74.24797601697747 40.49823014891036)",276,145,30,6,FAIR,275.5231388,102,8 AVENUE,0,0,5,1,1.45
"LINESTRING (-74.24637704715674 40.496567480557026, -74.24747045492758 40.496669431209995)",307,148,30,8,GOOD,306.3657944,103,8 AVENUE,0,0,5,1,1.45
"LINESTRING (-74.24548609691432 40.496767017994046, -74.24637704715674 40.496567480557026)",258,150,30,8,GOOD,258.2401983,104,7 AVENUE SOUTH,0,0,1,0,0.105
"LINESTRING (-74.24884828626027 40.50073703634991, -74.24964592491251 40.50057335879892)",210,151,30,8,GOOD,229.7063343,105,BEDFORD STREET,2,0,2,0,0.16
"LINESTRING (-74.24795721658981 40.5009173792564, -74.24884828626027 40.50073703634991)",272,154,20.17,8,GOOD,256.376676,106,CHARLTON STREET,0,0,0,0,0.05
"LINESTRING (-74.247073343675 40.50110044456669, -74.24795721658981 40.5009173792564)",231,155,20.17,8,GOOD,254.6998233,107,MERCER STREET,0,0,0,0,0.05
"LINESTRING (-74.24616514002048 40.49858264159945, -74.24701669303205 40.49841886658573)",244,157,30,6,FAIR,244.2334948,108,MINETTA STREET,0,0,0,0,0.05
"LINESTRING (-74.24882938743596 40.50338858387235, -74.24970251882002 40.5032110181549)",259,159,61.83,9,GOOD,251.2866889,109,GREENWICH AVENUE,0,0,4,2,2.52
"LINESTRING (-74.24882938743596 40.50338858387235, -74.24795721658981 40.5009173792564)",945,160,30,9,GOOD,932.4167523,110,7 AVENUE SOUTH,0,0,1,0,0.105
"LINESTRING (-74.24793828237918 40.503568926599286, -74.247073343675 40.50110044456669)",931,161,41.92,8,GOOD,930.9371622,111,CHARLES STREET,0,0,0,1,1.175
"LINESTRING (-74.24793828237918 40.503568926599286, -74.24882938743596 40.50338858387235)",253,162,61.83,9,GOOD,256.376676,112,SPRING STREET,0,0,3,0,0.215
"LINESTRING (-74.24702203196804 40.503757551014765, -74.24793828237918 40.503568926599286)",254,163,61.83,9,GOOD,263.9109698,113,CORTLANDT ALLEY,0,0,0,0,0.05
"LINESTRING (-74.24619664725492 40.501280742829024, -74.247073343675 40.50110044456669)",271,165,30,7,FAIR,252.5094058,114,SPRING STREET,1,0,5,0,0.325
"LINESTRING (-74.24609137273016 40.503940709340654, -74.24702203196804 40.503757551014765)",262,167,61.83,9,GOOD,267.2770099,115,WEST 4 STREET,0,0,0,0,0.05
"LINESTRING (-74.24609137273016 40.503940709340654, -74.2452228714692 40.50146398670775)",933,168,30,9,GOOD,934.0931431,116,10 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.2487963891863 40.506117016714114, -74.24969496383484 40.50600252709535)",240,169,30,8,GOOD,253.3396929,117,BAXTER STREET,0,0,0,0,0.05
"LINESTRING (-74.2487963891863 40.506117016714114, -74.24793828237918 40.503568926599286)",946,170,30,8,GOOD,958.5076943,118,7 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.24789088407199 40.50630287983757, -74.24702203196804 40.503757551014765)",953,172,36.17,8,GOOD,958.2823175,119,WEST 16 STREET,0,0,4,1,1.395
"LINESTRING (-74.24789088407199 40.50630287983757, -74.24836888562132 40.506230480753615)",83,173,30,8,GOOD,135.5175265,120,WEST 16 STREET,0,0,4,1,1.395
"LINESTRING (-74.24696376750903 40.50648054782288, -74.24609137273016 40.503940709340654)",972,174,36.83,7,GOOD,956.5960485,121,GREENWICH AVENUE,0,0,2,0,0.16
"LINESTRING (-74.24696376750903 40.50648054782288, -74.24789088407199 40.50630287983757)",237,175,38.83,8,GOOD,265.8194876,122,PEARL STREET,0,0,0,0,0.05
"LINESTRING (-74.24607979812914 40.50665811579484, -74.24696376750903 40.50648054782288)",234,176,27.67,8,GOOD,254.1889061,123,CHARLES STREET,1,0,0,0,0.05
"LINESTRING (-74.24607979812914 40.50665811579484, -74.2452002328 40.504115541182315)",960,177,32.33,8,GOOD,958.0673254,124,GREENWICH AVENUE,0,0,0,1,1.175
"LINESTRING (-74.24804727026394 40.508715247221225, -74.24853221584426 40.508571466930064)",125,180,30.92,8,GOOD,144.6685868,125,PEARL STREET,0,0,0,0,0.05
"LINESTRING (-74.24775270375615 40.50880097321341, -74.24696376750903 40.50648054782288)",874,181,30,6,FAIR,873.3870849,126,12 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.24775270375615 40.50880097321341, -74.24804727026394 40.508715247221225)",349,182,30.92,8,GOOD,87.66413178,127,12 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.24690131426354 40.50904435298889, -74.24607979812914 40.50665811579484)",894,183,32.33,8,GOOD,898.8748522,128,JOE DIMAGGIO HIGHWAY,0,0,0,0,0.05
"LINESTRING (-74.24690131426354 40.50904435298889, -74.24775270375615 40.50880097321341)",264,184,30.92,8,GOOD,252.8102055,129,WALKER STREET,0,0,0,0,0.05
"LINESTRING (-74.24605714117828 40.50929594544676, -74.24690131426354 40.50904435298889)",242,185,30.92,8,GOOD,252.0039682,130,WEST BROADWAY,0,0,0,0,0.05
"LINESTRING (-74.24605714117828 40.50929594544676, -74.24520661211066 40.5068356539059)",925,186,33.33,7,GOOD,927.0194173,131,11 AVENUE,0,0,0,0,0.05
"LINESTRING (-74.24897729063426 40.51124122114043, -74.24930040092599 40.51109229897197)",119,187,30,8,GOOD,104.9571341,132,CENTRE STREET,0,0,1,0,0.105
"LINESTRING (-74.24897729063426 40.51124122114043, -74.24827692615736 40.510518103476585)",236,188,30,8,GOOD,327.6156284,133,GRAND STREET,0,0,1,1,1.23
"LINESTRING (-74.24836162434389 40.51008423720979, -74.24912661116683 40.50981358593022)",260,189,30,8,GOOD,234.4632167,134,AVENUE OF THE AMERICAS,0,0,0,0,0.05
"LINESTRING (-74.24827692615736 40.510518103476585, -74.24935765721435 40.5100518843161)",338,190,31.17,6,FAIR,345.1984936,135,CENTRE STREET,0,0,1,0,0.105
"LINESTRING (-74.24827692615736 40.510518103476585, -74.24747184065262 40.5096744349063)",668,191,35.5,8,GOOD,380.2538626,136,WEST 43 STREET,0,0,0,0,0.05
"LINESTRING (-74.24784892987383 40.50953637970824, -74.24836162434389 40.51008423720979)",204,192,30,7,FAIR,245.2835094,137,WALKER STREET,0,0,1,0,0.105
"LINESTRING (-74.24747184065262 40.5096744349063, -74.24690131426354 40.50904435298889)",332,193,30,8,GOOD,279.0412156,138,WALKER STREET,0,0,1,0,0.105
"LINESTRING (-74.24747184065262 40.5096744349063, -74.24784892987383 40.50953637970824)",107,194,30,6,FAIR,116.2970335,139,PATCHIN PLACE,0,0,0,0,0.05
"LINESTRING (-74.24668223140152 40.5110705079577, -74.24524890324987 40.50954196523384)",710,196,29,7,GOOD,684.8160337,140,WEST 16 STREET,0,0,3,0,0.215
"LINESTRING (-74.24899059601893 40.512882599949606, -74.25004953603 40.51235054580289)",387,197,30,6,FAIR,352.5251764,141,10 AVENUE,0,0,1,0,0.105
"LINESTRING (-74.24899059601893 40.512882599949606, -74.24824311572497 40.51206626015244)",368,198,36.33,8,GOOD,362.8401852,142,WEST 42 STREET,0,0,0,0,0.05
"LINESTRING (-74.24856340669419 40.51309213288776, -74.24668223140152 40.5110705079577)",913,199,29,6,FAIR,903.3742303,143,WEST 17 STREET,0,0,2,1,1.285
"LINESTRING (-74.24856340669419 40.51309213288776, -74.24899059601893 40.512882599949606)",92,200,30,8,GOOD,141.1984419,144,CENTRE STREET,0,0,0,0,0.05
"LINESTRING (-74.24899542110802 40.51417814858046, -74.2483851219946 40.5144731675923)",59,201,30,0,NR,200.8706051,145,GRAND STREET,0,0,0,0,0.05
"LINESTRING (-74.2483851219946 40.5144731675923, -74.24756185311838 40.513588366708284)",352,202,26.42,5,FAIR,395.3643889,146,WEST 36 STREET,0,0,0,0,0.05
"LINESTRING (-74.24756185311838 40.513588366708284, -74.24856340669419 40.51309213288776)",307,204,24,6,FAIR,332.0256014,147,WEST 39 STREET,0,0,0,0,0.05
"LINESTRING (-74.24741058105407 40.5144999759096, -74.24764893174458 40.5147657102137)",181,205,30,0,NR,117.3243368,148,WEST 33 STREET,0,0,0,0,0.05
"LINESTRING (-74.24721723989967 40.513762033695045, -74.24756185311838 40.513588366708284)",131,207,37.58,6,FAIR,114.8259553,149,GRAND STREET,0,0,1,1,1.23
"LINESTRING (-74.24721723989967 40.513762033695045, -74.24531109376724 40.51178984713488)",892,208,28,5,FAIR,892.8516114,150,WEST 8 STREET,0,0,4,0,0.27
"LINESTRING (-74.24689071839357 40.51396585383714, -74.24741058105407 40.5144999759096)",142,209,30,0,NR,242.4066831,151,WEST 12 STREET,0,0,0,0,0.05
"LINESTRING (-74.24689071839357 40.51396585383714, -74.24721723989967 40.513762033695045)",80,210,30,6,FAIR,117.2902383,152,WEST 39 STREET,0,0,0,0,0.05
"LINESTRING (-74.24628438247616 40.51436241178564, -74.24689071839357 40.51396585383714)",261,211,30,0,NR,222.0292773,153,BOWERY,0,0,7,2,2.685
"LINESTRING (-74.24628438247616 40.51436241178564, -74.24434212306356 40.51234636947364)",918,212,29.5,6,FAIR,911.6687995,154,WEST 46 STREET,0,0,0,0,0.05
